patent_id	assignee_sequence	assignee_id	disambig_assignee_individual_name_first	disambig_assignee_individual_name_last	disambig_assignee_organization	assignee_type	location_id
11000074	1	org:0022			NVIDIA Corporation	2	loc-0597
11000074	2	org:0026			Dell Products L.P.	2	loc-0473
11000075	1	org:0023			Micron Technology, Inc.	2	loc-0471
11000076	1	org:0009			Sony Group Corporation	2	loc-0154
11000077	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0346
11000078	1	org:0030			ASML Netherlands B.V.	2	loc-0172
11000079	1	org:0020			Robert Bosch GmbH	2	loc-0048
11000080	1	org:0009			Sony Group Corporation	2	loc-0133
11000081	1	org:0022			NVIDIA Corporation	2	loc-0579
11000082	1	org:0028			Oracle International Corporation	2	loc-0210
11000083	1	org:0000			International Business Machines Corporation	2	loc-0351
11000083	2	org:0019			Siemens Aktiengesellschaft	2	loc-0123
11000084	1	org:0004			Intel Corporation	2	loc-0258
11000085	1	org:0021			Ford Global Technologies, LLC	2	loc-0534
11000086	1	org:0025			BYD Company Limited	2	loc-0285
11000087	1	org:0012			Panasonic Holdings Corporation	2	loc-0431
11000088	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0236
11000089	1	org:0007			Google LLC	2	loc-0267
11000089	2	org:0031			Tesla, Inc.	2	loc-0238
11000090	1	org:0023			Micron Technology, Inc.	2	loc-0049
11000091	1	org:0031			Tesla, Inc.	2	loc-0204
11000092	1	org:0030			ASML Netherlands B.V.	2	loc-0388
11000093	1	org:0013			TSMC Limited	2	loc-0544
11000094	1	org:0012			Panasonic Holdings Corporation	2	loc-0035
11000095	1	org:0022			NVIDIA Corporation	2	loc-0587
11000096	1	org:0031			Tesla, Inc.	2	loc-0596
11000097	1	org:0008			Qualcomm Incorporated	2	loc-0040
11000098	1	org:0011			LG Electronics Inc.	2	loc-0269
11000099	1	org:0027			Cisco Technology, Inc.	2	loc-0022
11000100	1	org:0009			Sony Group Corporation	2	loc-0456
11000100	2	org:0023			Micron Technology, Inc.	2	loc-0553
11000101	1	org:0021			Ford Global Technologies, LLC	2	loc-0419
11000102	1	org:0020			Robert Bosch GmbH	2	loc-0416
11000103	1	org:0025			BYD Company Limited	2	loc-0444
11000104	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0557
11000105	1	org:0008			Qualcomm Incorporated	2	loc-0403
11000106	1	org:0015			Amazon Technologies, Inc.	2	loc-0385
11000107	1	org:0000			International Business Machines Corporation	2	loc-0084
11000108	1	org:0025			BYD Company Limited	2	loc-0393
11000109	1	org:0007			Google LLC	2	loc-0194
11000110	1	org:0002			Canon Inc.	2	loc-0185
11000111	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0164
11000112	1	org:0007			Google LLC	2	loc-0001
11000113	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0298
11000113	2	org:0010			Toyota Motor Corporation	2	loc-0065
11000114	1	org:0020			Robert Bosch GmbH	2	loc-0424
11000115	1	org:0018			General Electric Company	2	loc-0247
11000116	1	org:0030			ASML Netherlands B.V.	2	loc-0152
11000117	1	org:0012			Panasonic Holdings Corporation	2	loc-0563
11000118	1	org:0011			LG Electronics Inc.	2	loc-0520
11000119	1	org:0004			Intel Corporation	2	loc-0360
11000120	1	org:0010			Toyota Motor Corporation	2	loc-0433
11000121	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0530
11000122	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0516
11000123	1	org:0010			Toyota Motor Corporation	2	loc-0360
11000124	1	org:0023			Micron Technology, Inc.	2	loc-0464
11000125	1	org:0016			Meta Platforms, Inc.	2	loc-0445
11000126	1	org:0009			Sony Group Corporation	2	loc-0546
11000126	2	org:0029			SAP SE	2	loc-0094
11000127	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0558
11000128	1	org:0025			BYD Company Limited	2	loc-0183
11000128	2	org:0029			SAP SE	2	loc-0295
11000129	1	org:0007			Google LLC	2	loc-0588
11000130	1	org:0028			Oracle International Corporation	2	loc-0271
11000131	1	org:0016			Meta Platforms, Inc.	2	loc-0167
11000132	1	org:0029			SAP SE	2	loc-0565
11000133	1	org:0013			TSMC Limited	2	loc-0384
11000133	2	org:0029			SAP SE	2	loc-0468
11000134	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0115
11000135	1	org:0021			Ford Global Technologies, LLC	2	loc-0356
11000136	1	org:0010			Toyota Motor Corporation	2	loc-0263
11000137	1	org:0015			Amazon Technologies, Inc.	2	loc-0569
11000138	1	org:0007			Google LLC	2	loc-0461
11000139	1	org:0030			ASML Netherlands B.V.	2	loc-0338
11000140	1	org:0022			NVIDIA Corporation	2	loc-0370
11000141	1	org:0009			Sony Group Corporation	2	loc-0424
11000142	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0044
11000143	1	org:0017			Boeing Company, The	2	loc-0535
11000144	1	org:0023			Micron Technology, Inc.	2	loc-0340
11000146	1	org:0031			Tesla, Inc.	2	loc-0136
11000147	1	org:0000			International Business Machines Corporation	2	loc-0414
11000148	1	org:0025			BYD Company Limited	2	loc-0022
11000148	2	org:0015			Amazon Technologies, Inc.	2	loc-0308
11000149	1	org:0029			SAP SE	2	loc-0428
11000150	1	org:0007			Google LLC	2	loc-0519
11000151	1	org:0009			Sony Group Corporation	2	loc-0488
11000152	1	org:0027			Cisco Technology, Inc.	2	loc-0365
11000153	1	org:0025			BYD Company Limited	2	loc-0382
11000154	1	org:0006			Apple Inc.	2	loc-0580
11000155	1	org:0001			Samsung Electronics Co., Ltd.	2	loc-0546
11000157	1	org:0025			BYD Company Limited	2	loc-0538
11000158	1	org:0004			Intel Corporation	2	loc-0256
11000159	1	org:0015			Amazon Technologies, Inc.	2	loc-0001
11000160	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0030
11000161	1	org:0020			Robert Bosch GmbH	2	loc-0148
11000162	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0482
11000163	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0288
11000164	1	org:0028			Oracle International Corporation	2	loc-0016
11000165	1	org:0009			Sony Group Corporation	2	loc-0345
11000166	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0492
11000168	1	org:0019			Siemens Aktiengesellschaft	2	loc-0138
11000169	1	org:0002			Canon Inc.	2	loc-0396
11000170	1	org:0011			LG Electronics Inc.	2	loc-0499
11000170	2	org:0029			SAP SE	2	loc-0265
11000171	1	org:0026			Dell Products L.P.	2	loc-0301
11000172	1	org:0022			NVIDIA Corporation	2	loc-0008
11000173	1	org:0022			NVIDIA Corporation	2	loc-0086
11000174	1	org:0030			ASML Netherlands B.V.	2	loc-0485
11000175	1	org:0031			Tesla, Inc.	2	loc-0060
11000176	1	org:0008			Qualcomm Incorporated	2	loc-0499
11000177	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0074
11000179	1	org:0006			Apple Inc.	2	loc-0561
11000180	1	org:0008			Qualcomm Incorporated	2	loc-0452
11000181	1	org:0021			Ford Global Technologies, LLC	2	loc-0097
11000183	1	org:0020			Robert Bosch GmbH	2	loc-0432
11000184	1	org:0026			Dell Products L.P.	2	loc-0402
11000184	2	org:0008			Qualcomm Incorporated	2	loc-0303
11000185	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0111
11000185	2	org:0001			Samsung Electronics Co., Ltd.	2	loc-0133
11000186	1	org:0021			Ford Global Technologies, LLC	2	loc-0269
11000187	1	org:0028			Oracle International Corporation	2	loc-0249
11000188	1	org:0026			Dell Products L.P.	2	loc-0251
11000189	1	org:0012			Panasonic Holdings Corporation	2	loc-0111
11000190	1	org:0018			General Electric Company	2	loc-0329
11000191	1	org:0020			Robert Bosch GmbH	2	loc-0438
11000192	1	org:0029			SAP SE	2	loc-0448
11000193	1	org:0009			Sony Group Corporation	2	loc-0308
11000194	1	org:0020			Robert Bosch GmbH	2	loc-0452
11000195	1	org:0017			Boeing Company, The	2	loc-0571
11000196	1	org:0022			NVIDIA Corporation	2	loc-0280
11000197	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0343
11000198	1	org:0006			Apple Inc.	2	loc-0302
11000200	1	org:0027			Cisco Technology, Inc.	2	loc-0290
11000201	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0152
11000202	1	org:0011			LG Electronics Inc.	2	loc-0347
11000203	1	org:0013			TSMC Limited	2	loc-0329
11000204	1	org:0009			Sony Group Corporation	2	loc-0288
11000205	1	org:0016			Meta Platforms, Inc.	2	loc-0398
11000206	1	org:0006			Apple Inc.	2	loc-0137
11000206	2	org:0020			Robert Bosch GmbH	2	loc-0367
11000207	1	org:0029			SAP SE	2	loc-0103
11000208	1	org:0029			SAP SE	2	loc-0292
11000209	1	org:0031			Tesla, Inc.	2	loc-0465
11000209	2	org:0002			Canon Inc.	2	loc-0058
11000210	1	org:0009			Sony Group Corporation	2	loc-0075
11000211	1	org:0025			BYD Company Limited	2	loc-0432
11000212	1	org:0018			General Electric Company	2	loc-0422
11000213	1	org:0022			NVIDIA Corporation	2	loc-0426
11000214	1	org:0017			Boeing Company, The	2	loc-0226
11000215	1	org:0012			Panasonic Holdings Corporation	2	loc-0004
11000216	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0560
11000217	1	org:0016			Meta Platforms, Inc.	2	loc-0377
11000218	1	org:0025			BYD Company Limited	2	loc-0161
11000220	1	org:0020			Robert Bosch GmbH	2	loc-0226
11000221	1	org:0024			Hitachi, Ltd.	2	loc-0285
11000222	1	org:0028			Oracle International Corporation	2	loc-0221
11000223	1	org:0010			Toyota Motor Corporation	2	loc-0202
11000224	1	org:0021			Ford Global Technologies, LLC	2	loc-0406
11000225	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0252
11000226	1	org:0025			BYD Company Limited	2	loc-0465
11000227	1	org:0008			Qualcomm Incorporated	2	loc-0010
11000227	2	org:0027			Cisco Technology, Inc.	2	loc-0204
11000228	1	org:0018			General Electric Company	2	loc-0418
11000229	1	org:0022			NVIDIA Corporation	2	loc-0001
11000230	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0044
11000231	1	org:0010			Toyota Motor Corporation	2	loc-0224
11000231	2	org:0006			Apple Inc.	2	loc-0270
11000232	1	org:0021			Ford Global Technologies, LLC	2	loc-0167
11000233	1	org:0009			Sony Group Corporation	2	loc-0132
11000234	1	org:0002			Canon Inc.	2	loc-0255
11000235	1	org:0007			Google LLC	2	loc-0134
11000236	1	org:0011			LG Electronics Inc.	2	loc-0466
11000237	1	org:0017			Boeing Company, The	2	loc-0335
11000238	1	org:0027			Cisco Technology, Inc.	2	loc-0550
11000239	1	org:0025			BYD Company Limited	2	loc-0254
11000240	1	org:0020			Robert Bosch GmbH	2	loc-0462
11000241	1	org:0016			Meta Platforms, Inc.	2	loc-0255
11000242	1	org:0022			NVIDIA Corporation	2	loc-0533
11000243	1	org:0006			Apple Inc.	2	loc-0106
11000243	2	org:0029			SAP SE	2	loc-0344
11000244	1	org:0015			Amazon Technologies, Inc.	2	loc-0548
11000244	2	org:0025			BYD Company Limited	2	loc-0476
11000245	1	org:0023			Micron Technology, Inc.	2	loc-0037
11000246	1	org:0002			Canon Inc.	2	loc-0209
11000247	1	org:0007			Google LLC	2	loc-0346
11000248	1	org:0006			Apple Inc.	2	loc-0559
11000249	1	org:0010			Toyota Motor Corporation	2	loc-0414
11000250	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0132
11000252	1	org:0001			Samsung Electronics Co., Ltd.	2	loc-0036
11000253	1	org:0000			International Business Machines Corporation	2	loc-0001
11000254	1	org:0011			LG Electronics Inc.	2	loc-0472
11000255	1	org:0000			International Business Machines Corporation	2	loc-0323
11000256	1	org:0000			International Business Machines Corporation	2	loc-0047
11000257	1	org:0023			Micron Technology, Inc.	2	loc-0159
11000258	1	org:0018			General Electric Company	2	loc-0529
11000259	1	org:0002			Canon Inc.	2	loc-0296
11000260	1	org:0012			Panasonic Holdings Corporation	2	loc-0073
11000261	1	org:0016			Meta Platforms, Inc.	2	loc-0151
11000262	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0291
11000263	1	org:0018			General Electric Company	2	loc-0092
11000264	1	org:0026			Dell Products L.P.	2	loc-0258
11000265	1	org:0012			Panasonic Holdings Corporation	2	loc-0424
11000266	1	org:0006			Apple Inc.	2	loc-0064
11000267	1	org:0029			SAP SE	2	loc-0205
11000268	1	org:0007			Google LLC	2	loc-0083
11000269	1	org:0017			Boeing Company, The	2	loc-0153
11000270	1	org:0025			BYD Company Limited	2	loc-0349
11000271	1	org:0030			ASML Netherlands B.V.	2	loc-0439
11000272	1	org:0008			Qualcomm Incorporated	2	loc-0474
11000272	2	org:0025			BYD Company Limited	2	loc-0371
11000273	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0310
11000274	1	org:0002			Canon Inc.	2	loc-0490
11000275	1	org:0019			Siemens Aktiengesellschaft	2	loc-0291
11000276	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0336
11000277	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0103
11000278	1	org:0026			Dell Products L.P.	2	loc-0090
11000279	1	org:0007			Google LLC	2	loc-0043
11000280	1	org:0015			Amazon Technologies, Inc.	2	loc-0317
11000281	1	org:0007			Google LLC	2	loc-0550
11000282	1	org:0023			Micron Technology, Inc.	2	loc-0351
11000283	1	org:0025			BYD Company Limited	2	loc-0218
11000284	1	org:0015			Amazon Technologies, Inc.	2	loc-0440
11000286	1	org:0018			General Electric Company	2	loc-0250
11000287	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0204
11000288	1	org:0006			Apple Inc.	2	loc-0446
11000288	2	org:0009			Sony Group Corporation	2	loc-0432
11000289	1	org:0009			Sony Group Corporation	2	loc-0395
11000289	2	org:0016			Meta Platforms, Inc.	2	loc-0178
11000290	1	org:0022			NVIDIA Corporation	2	loc-0239
11000291	1	org:0011			LG Electronics Inc.	2	loc-0375
11000292	1	org:0000			International Business Machines Corporation	2	loc-0281
11000293	1	org:0011			LG Electronics Inc.	2	loc-0483
11000294	1	org:0012			Panasonic Holdings Corporation	2	loc-0035
11000295	1	org:0015			Amazon Technologies, Inc.	2	loc-0008
11000296	1	org:0018			General Electric Company	2	loc-0261
11000297	1	org:0009			Sony Group Corporation	2	loc-0365
11000298	1	org:0017			Boeing Company, The	2	loc-0120
11000299	1	org:0015			Amazon Technologies, Inc.	2	loc-0475
11000300	1	org:0016			Meta Platforms, Inc.	2	loc-0539
11000301	1	org:0029			SAP SE	2	loc-0408
11000302	1	org:0001			Samsung Electronics Co., Ltd.	2	loc-0473
11000303	1	org:0018			General Electric Company	2	loc-0020
11000304	1	org:0015			Amazon Technologies, Inc.	2	loc-0068
11000305	1	org:0029			SAP SE	2	loc-0125
11000306	1	org:0016			Meta Platforms, Inc.	2	loc-0414
11000307	1	org:0017			Boeing Company, The	2	loc-0016
11000308	1	org:0029			SAP SE	2	loc-0548
11000309	1	org:0021			Ford Global Technologies, LLC	2	loc-0106
11000311	1	org:0002			Canon Inc.	2	loc-0158
11000312	1	org:0009			Sony Group Corporation	2	loc-0186
11000313	1	org:0006			Apple Inc.	2	loc-0487
11000314	1	org:0015			Amazon Technologies, Inc.	2	loc-0313
11000316	1	org:0017			Boeing Company, The	2	loc-0376
11000317	1	org:0008			Qualcomm Incorporated	2	loc-0534
11000318	1	org:0020			Robert Bosch GmbH	2	loc-0036
11000319	1	org:0010			Toyota Motor Corporation	2	loc-0011
11000320	1	org:0008			Qualcomm Incorporated	2	loc-0139
11000321	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0059
11000322	1	org:0017			Boeing Company, The	2	loc-0145
11000323	1	org:0008			Qualcomm Incorporated	2	loc-0045
11000324	1	org:0010			Toyota Motor Corporation	2	loc-0364
11000325	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0157
11000326	1	org:0006			Apple Inc.	2	loc-0121
11000327	1	org:0022			NVIDIA Corporation	2	loc-0168
11000328	1	org:0011			LG Electronics Inc.	2	loc-0358
11000329	1	org:0001			Samsung Electronics Co., Ltd.	2	loc-0132
11000329	2	org:0028			Oracle International Corporation	2	loc-0107
11000330	1	org:0018			General Electric Company	2	loc-0465
11000331	1	org:0017			Boeing Company, The	2	loc-0542
11000332	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0409
11000333	1	org:0017			Boeing Company, The	2	loc-0439
11000334	1	org:0010			Toyota Motor Corporation	2	loc-0100
11000335	1	org:0008			Qualcomm Incorporated	2	loc-0309
11000336	1	org:0015			Amazon Technologies, Inc.	2	loc-0250
11000338	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0057
11000339	1	org:0001			Samsung Electronics Co., Ltd.	2	loc-0468
11000340	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0421
11000341	1	org:0021			Ford Global Technologies, LLC	2	loc-0306
11000342	1	org:0010			Toyota Motor Corporation	2	loc-0053
11000343	1	org:0018			General Electric Company	2	loc-0297
11000344	1	org:0010			Toyota Motor Corporation	2	loc-0321
11000345	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0561
11000346	1	org:0013			TSMC Limited	2	loc-0021
11000347	1	org:0027			Cisco Technology, Inc.	2	loc-0390
11000348	1	org:0030			ASML Netherlands B.V.	2	loc-0422
11000348	2	org:0025			BYD Company Limited	2	loc-0357
11000349	1	org:0009			Sony Group Corporation	2	loc-0463
11000350	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0335
11000351	1	org:0025			BYD Company Limited	2	loc-0175
11000352	1	org:0013			TSMC Limited	2	loc-0287
11000353	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0529
11000354	1	org:0001			Samsung Electronics Co., Ltd.	2	loc-0084
11000355	1	org:0012			Panasonic Holdings Corporation	2	loc-0105
11000355	2	org:0019			Siemens Aktiengesellschaft	2	loc-0072
11000356	1	org:0011			LG Electronics Inc.	2	loc-0500
11000357	1	org:0007			Google LLC	2	loc-0393
11000358	1	org:0006			Apple Inc.	2	loc-0177
11000359	1	org:0015			Amazon Technologies, Inc.	2	loc-0269
11000360	1	org:0006			Apple Inc.	2	loc-0251
11000361	1	org:0011			LG Electronics Inc.	2	loc-0400
11000361	2	org:0024			Hitachi, Ltd.	2	loc-0361
11000362	1	org:0028			Oracle International Corporation	2	loc-0072
11000363	1	org:0021			Ford Global Technologies, LLC	2	loc-0315
11000364	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0479
11000365	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0413
11000366	1	org:0001			Samsung Electronics Co., Ltd.	2	loc-0291
11000367	1	org:0011			LG Electronics Inc.	2	loc-0380
11000368	1	org:0031			Tesla, Inc.	2	loc-0035
11000370	1	org:0016			Meta Platforms, Inc.	2	loc-0285
11000371	1	org:0017			Boeing Company, The	2	loc-0436
11000372	1	org:0016			Meta Platforms, Inc.	2	loc-0191
11000373	1	org:0015			Amazon Technologies, Inc.	2	loc-0503
11000374	1	org:0007			Google LLC	2	loc-0226
11000375	1	org:0003			Microsoft Technology Licensing, LLC	2	loc-0390
11000376	1	org:0031			Tesla, Inc.	2	loc-0044
11000377	1	org:0029			SAP SE	2	loc-0144
11000378	1	org:0025			BYD Company Limited	2	loc-0208
11000379	1	org:0018			General Electric Company	2	loc-0251
11000380	1	org:0006			Apple Inc.	2	loc-0319
11000382	1	org:0000			International Business Machines Corporation	2	loc-0128
11000383	1	org:0007			Google LLC	2	loc-0269
11000384	1	org:0020			Robert Bosch GmbH	2	loc-0037
11000385	1	org:0015			Amazon Technologies, Inc.	2	loc-0059
11000386	1	org:0002			Canon Inc.	2	loc-0238
11000387	1	org:0020			Robert Bosch GmbH	2	loc-0569
11000387	2	org:0008			Qualcomm Incorporated	2	loc-0461
11000388	1	org:0022			NVIDIA Corporation	2	loc-0177
11000389	1	org:0007			Google LLC	2	loc-0472
11000390	1	org:0011			LG Electronics Inc.	2	loc-0590
11000391	1	org:0014			Tencent Technology (Shenzhen) Company Ltd.	2	loc-0295
11000392	1	org:0002			Canon Inc.	2	loc-0499
11000393	1	org:0020			Robert Bosch GmbH	2	loc-0146
11000393	2	org:0005			Huawei Technologies Co., Ltd.	2	loc-0313
11000394	1	org:0011			LG Electronics Inc.	2	loc-0556
11000395	1	org:0028			Oracle International Corporation	2	loc-0371
11000396	1	org:0020			Robert Bosch GmbH	2	loc-0527
11000397	1	org:0009			Sony Group Corporation	2	loc-0024
11000398	1	org:0006			Apple Inc.	2	loc-0463
11000398	2	org:0010			Toyota Motor Corporation	2	loc-0566
11000399	1	org:0023			Micron Technology, Inc.	2	loc-0229
11000400	1	org:0017			Boeing Company, The	2	loc-0533
11000402	1	org:0028			Oracle International Corporation	2	loc-0126
11000403	1	org:0028			Oracle International Corporation	2	loc-0230
11000404	1	org:0013			TSMC Limited	2	loc-0321
11000405	1	org:0000			International Business Machines Corporation	2	loc-0280
11000405	2	org:0019			Siemens Aktiengesellschaft	2	loc-0449
11000406	1	org:0028			Oracle International Corporation	2	loc-0523
11000407	1	org:0005			Huawei Technologies Co., Ltd.	2	loc-0321
11000408	1	org:0004			Intel Corporation	2	loc-0436
11000409	1	org:0026			Dell Products L.P.	2	loc-0107
11000409	2	org:0028			Oracle International Corporation	2	loc-0167
11000410	1	org:0023			Micron Technology, Inc.	2	loc-0513
11000411	1	org:0027			Cisco Technology, Inc.	2	loc-0565
11000412	1	org:0025			BYD Company Limited	2	loc-0117
11000413	1	org:0030			ASML Netherlands B.V.	2	loc-0321
11000413	2	org:0011			LG Electronics Inc.	2	loc-0306
11000414	1	org:0018			General Electric Company	2	loc-0076
11000415	1	org:0027			Cisco Technology, Inc.	2	loc-0334
11000416	1	org:0018			General Electric Company	2	loc-0553
11000416	2	org:0011			LG Electronics Inc.	2	loc-0013
11000417	1	org:0004			Intel Corporation	2	loc-0338
11000418	1	org:0010			Toyota Motor Corporation	2	loc-0408
11000419	1	org:0022			NVIDIA Corporation	2	loc-0442
11000420	1	org:0018			General Electric Company	2	loc-0334
11000420	2	org:0004			Intel Corporation	2	loc-0307
11000421	1	org:0027			Cisco Technology, Inc.	2	loc-0255
11000422	1	org:0028			Oracle International Corporation	2	loc-0251
11000423	1	org:0031			Tesla, Inc.	2	loc-0151
11000424	1	org:0000			International Business Machines Corporation	2	loc-0137
11000424	2	org:0004			Intel Corporation	2	loc-0340
11000425	1	org:0021			Ford Global Technologies, LLC	2	loc-0399
11000426	1	org:0000			International Business Machines Corporation	2	loc-0186
