patent_id	inventor_id	location_id
11000062	fl:rajesh_ln:müller-01495	loc-0129
11000062	fl:rajesh_ln:zhang-00674	loc-0056
11000063	fl:camille_ln:zhang-00492	loc-0062
11000063	fl:alice_ln:gupta-00975	loc-0033
11000064	fl:liu_ln:li-00584	loc-0171
11000065	fl:priya_ln:conti-01720	loc-0029
11000065	fl:chen_ln:sato-01383	loc-0095
11000066	fl:seo-yun_ln:gupta-01391	loc-0126
11000066	fl:isabella_ln:rossi-00338	loc-0193
11000067	fl:min_ln:ali-01650	loc-0016
11000067	fl:chen_ln:taylor-01569	loc-0069
11000068	fl:mohammed_ln:ivanov-01375	loc-0114
11000068	fl:pierre_ln:dupont-01254	loc-0163
11000068	fl:olivia_ln:kim-01708	loc-0187
11000068	fl:min_ln:ferrari-01436	loc-0189
11000068	fl:seo-yun_ln:rodriguez-01459	loc-0137
11000069	fl:alice_ln:hassan-00250	loc-0039
11000069	fl:sakura_ln:anderson-00903	loc-0037
11000070	fl:kenji_ln:schmidt-01228	loc-0120
11000070	fl:ivan_ln:ahmed-01574	loc-0151
11000070	fl:camille_ln:davis-00763	loc-0119
11000070	fl:greta_ln:zhang-00177	loc-0108
11000071	fl:alice_ln:ali-00527	loc-0009
11000071	fl:hiroshi_ln:ali-00304	loc-0171
11000071	fl:liu_ln:hassan-01374	loc-0070
11000071	fl:alice_ln:smith-00114	loc-0171
11000071	fl:amelia_ln:anderson-00352	loc-0163
11000072	fl:mohammed_ln:ferrari-00990	loc-0117
11000072	fl:ivan_ln:wilson-01736	loc-0070
11000073	fl:john_ln:garcia-00652	loc-0179
11000073	fl:mohammed_ln:brown-01606	loc-0143
11000073	fl:priya_ln:garcia-01323	loc-0064
11000073	fl:sakura_ln:taylor-01799	loc-0061
11000074	fl:camille_ln:petrov-00779	loc-0026
11000074	fl:ahmed_ln:schmidt-01271	loc-0005
11000074	fl:alice_ln:rossi-01686	loc-0018
11000075	fl:greta_ln:müller-01580	loc-0013
11000076	fl:luca_ln:khan-01457	loc-0018
11000076	fl:natasha_ln:garcia-00011	loc-0065
11000077	fl:oliver_ln:miller-00055	loc-0094
11000077	fl:priya_ln:hassan-01706	loc-0006
11000077	fl:ahmed_ln:smith-00259	loc-0087
11000077	fl:santosh_ln:conti-00542	loc-0144
11000078	fl:seo-yun_ln:li-00727	loc-0137
11000079	fl:camille_ln:martin-01285	loc-0122
11000080	fl:ivan_ln:ali-01205	loc-0045
11000081	fl:mohammed_ln:khan-01347	loc-0189
11000081	fl:giulia_ln:davis-01057	loc-0072
11000082	fl:min_ln:hassan-00429	loc-0119
11000082	fl:oliver_ln:rodriguez-00588	loc-0186
11000082	fl:noah_ln:sharma-01759	loc-0006
11000083	fl:rajesh_ln:khan-00359	loc-0079
11000083	fl:mohammed_ln:müller-00940	loc-0094
11000084	fl:oliver_ln:ahmed-01733	loc-0077
11000084	fl:amelia_ln:patel-01649	loc-0078
11000084	fl:camille_ln:taylor-01636	loc-0094
11000085	fl:olivia_ln:suzuki-00223	loc-0131
11000085	fl:greta_ln:ferrari-00827	loc-0195
11000086	fl:fatima_ln:sharma-00119	loc-0191
11000086	fl:alice_ln:taylor-00399	loc-0057
11000087	fl:seo-yun_ln:dupont-00646	loc-0039
11000088	fl:amelia_ln:sharma-00809	loc-0088
11000089	fl:chen_ln:ahmed-00012	loc-0075
11000089	fl:liu_ln:tanaka-00118	loc-0048
11000089	fl:amelia_ln:davis-00770	loc-0194
11000090	fl:hiroshi_ln:ali-00304	loc-0080
11000090	fl:hiroshi_ln:ali-01022	loc-0077
11000090	fl:carlos_ln:sato-00651	loc-0166
11000091	fl:pierre_ln:chen-00128	loc-0177
11000091	fl:giulia_ln:martin-01305	loc-0006
11000092	fl:alice_ln:wilson-01754	loc-0185
11000092	fl:yuki_ln:conti-00761	loc-0190
11000092	fl:aisha_ln:conti-01084	loc-0034
11000093	fl:min_ln:sato-00791	loc-0191
11000093	fl:yuki_ln:ahmed-01350	loc-0011
11000094	fl:kenji_ln:ali-00411	loc-0021
11000095	fl:john_ln:wilson-00927	loc-0098
11000096	fl:luca_ln:taylor-00661	loc-0041
11000097	fl:carlos_ln:kumar-01737	loc-0010
11000097	fl:amelia_ln:ahmed-00121	loc-0103
11000097	fl:chen_ln:zhang-01521	loc-0180
11000097	fl:hiroshi_ln:johnson-00560	loc-0092
11000098	fl:yuki_ln:gupta-00302	loc-0137
11000098	fl:fatima_ln:yamamoto-01186	loc-0027
11000098	fl:pierre_ln:ferrari-00805	loc-0145
11000098	fl:ivan_ln:wilson-00942	loc-0186
11000098	fl:chen_ln:ivanov-00340	loc-0142
11000099	fl:emma_ln:miller-01335	loc-0133
11000099	fl:aisha_ln:anderson-00657	loc-0065
11000099	fl:noah_ln:davis-00227	loc-0129
11000099	fl:camille_ln:taylor-00773	loc-0077
11000100	fl:aisha_ln:kumar-00181	loc-0015
11000101	fl:yuki_ln:rodriguez-01761	loc-0145
11000102	fl:greta_ln:dupont-01565	loc-0190
11000103	fl:greta_ln:schmidt-00353	loc-0020
11000103	fl:min_ln:rodriguez-01548	loc-0104
11000103	fl:emma_ln:yamamoto-00886	loc-0187
11000104	fl:yuki_ln:park-00924	loc-0199
11000105	fl:ahmed_ln:brown-01794	loc-0045
11000106	fl:john_ln:johnson-01528	loc-0028
11000107	fl:hiroshi_ln:martin-01517	loc-0073
11000108	fl:hans_ln:sato-01189	loc-0055
11000108	fl:pierre_ln:rossi-00255	loc-0179
11000109	fl:camille_ln:wang-00591	loc-0117
11000109	fl:rajesh_ln:wang-00548	loc-0149
11000110	fl:sakura_ln:davis-01762	loc-0114
11000110	fl:mohammed_ln:johnson-00361	loc-0193
11000110	fl:natasha_ln:zhang-00410	loc-0023
11000110	fl:anika_ln:park-01156	loc-0093
11000110	fl:priya_ln:johnson-00996	loc-0085
11000111	fl:alice_ln:esposito-01552	loc-0136
11000111	fl:greta_ln:li-01424	loc-0026
11000112	fl:santosh_ln:garcia-01630	loc-0115
11000112	fl:oliver_ln:ahmed-00836	loc-0071
11000112	fl:alice_ln:dupont-01537	loc-0004
11000112	fl:oliver_ln:rodriguez-00588	loc-0103
11000113	fl:aisha_ln:conti-01084	loc-0021
11000114	fl:pierre_ln:chen-00128	loc-0096
11000114	fl:hans_ln:rossi-01466	loc-0121
11000114	fl:isabella_ln:ahmed-01475	loc-0072
11000114	fl:wei_ln:hassan-00690	loc-0096
11000115	fl:amelia_ln:rossi-01777	loc-0048
11000115	fl:priya_ln:schmidt-00028	loc-0151
11000116	fl:ahmed_ln:ahmed-00253	loc-0050
11000117	fl:greta_ln:johnson-01732	loc-0119
11000117	fl:hans_ln:patel-00137	loc-0019
11000118	fl:liam_ln:petrov-00299	loc-0000
11000118	fl:oliver_ln:kim-00388	loc-0142
11000119	fl:hiroshi_ln:hassan-00963	loc-0110
11000119	fl:isabella_ln:smith-01112	loc-0061
11000120	fl:aisha_ln:zhang-00783	loc-0035
11000120	fl:liu_ln:miller-01065	loc-0142
11000121	fl:aisha_ln:rodriguez-01293	loc-0015
11000122	fl:noah_ln:suzuki-00309	loc-0157
11000122	fl:hiroshi_ln:ali-00834	loc-0031
11000123	fl:olivia_ln:brown-00081	loc-0194
11000123	fl:mohammed_ln:rossi-01792	loc-0170
11000123	fl:ahmed_ln:li-01573	loc-0018
11000123	fl:jin_ln:sharma-00220	loc-0141
11000124	fl:olivia_ln:brown-00766	loc-0101
11000124	fl:min_ln:rodriguez-01548	loc-0132
11000125	fl:yuki_ln:dupont-01223	loc-0028
11000125	fl:oliver_ln:johnson-01241	loc-0037
11000126	fl:greta_ln:garcia-01266	loc-0000
11000126	fl:anika_ln:yamamoto-00930	loc-0029
11000127	fl:min_ln:sharma-00097	loc-0017
11000128	fl:liam_ln:schmidt-00240	loc-0009
11000128	fl:anika_ln:sato-00143	loc-0041
11000129	fl:aisha_ln:davis-01452	loc-0145
11000130	fl:anika_ln:müller-00182	loc-0078
11000131	fl:liam_ln:smith-00456	loc-0174
11000131	fl:carlos_ln:garcia-00562	loc-0067
11000132	fl:santosh_ln:chen-00267	loc-0143
11000132	fl:olivia_ln:li-00897	loc-0013
11000133	fl:isabella_ln:rossi-01659	loc-0011
11000133	fl:greta_ln:ivanov-00496	loc-0168
11000133	fl:olivia_ln:dupont-01327	loc-0025
11000134	fl:wei_ln:miller-00679	loc-0195
11000135	fl:sakura_ln:wang-00724	loc-0064
11000135	fl:priya_ln:brown-01197	loc-0057
11000135	fl:pierre_ln:wilson-00514	loc-0042
11000136	fl:emma_ln:garcia-00247	loc-0094
11000137	fl:alice_ln:davis-00840	loc-0184
11000137	fl:fatima_ln:schmidt-01591	loc-0008
11000138	fl:hans_ln:johnson-01211	loc-0048
11000138	fl:olivia_ln:wilson-00231	loc-0034
11000138	fl:mohammed_ln:anderson-00750	loc-0177
11000139	fl:jin_ln:kim-00088	loc-0034
11000139	fl:camille_ln:suzuki-00141	loc-0157
11000139	fl:priya_ln:sato-01198	loc-0082
11000139	fl:seo-yun_ln:anderson-01104	loc-0053
11000139	fl:mohammed_ln:müller-01456	loc-0147
11000140	fl:mohammed_ln:yamamoto-00987	loc-0003
11000140	fl:priya_ln:petrov-01041	loc-0133
11000141	fl:liam_ln:smith-01766	loc-0126
11000141	fl:ivan_ln:rodriguez-00395	loc-0059
11000141	fl:yuki_ln:schmidt-00070	loc-0062
11000141	fl:john_ln:ferrari-00082	loc-0104
11000141	fl:pierre_ln:chen-00128	loc-0016
11000142	fl:emma_ln:zhang-01113	loc-0198
11000143	fl:emma_ln:kumar-00381	loc-0181
11000144	fl:liam_ln:rossi-00048	loc-0150
11000144	fl:sofia_ln:smith-00825	loc-0024
11000144	fl:priya_ln:ivanov-01527	loc-0138
11000145	fl:min_ln:sato-00791	loc-0008
11000145	fl:giulia_ln:khan-00265	loc-0103
11000145	fl:yuki_ln:wilson-00880	loc-0186
11000146	fl:natasha_ln:ali-01381	loc-0053
11000146	fl:jin_ln:sharma-00220	loc-0091
11000147	fl:john_ln:wilson-01507	loc-0071
11000147	fl:isabella_ln:esposito-00740	loc-0028
11000148	fl:seo-yun_ln:conti-00566	loc-0113
11000148	fl:wei_ln:patel-01647	loc-0154
11000148	fl:priya_ln:davis-01096	loc-0138
11000148	fl:min_ln:anderson-00676	loc-0006
11000148	fl:anika_ln:yamamoto-01526	loc-0166
11000149	fl:pierre_ln:yamamoto-01721	loc-0107
11000149	fl:jin_ln:zhang-00371	loc-0061
11000150	fl:hiroshi_ln:conti-00669	loc-0134
11000151	fl:oliver_ln:davis-01093	loc-0194
11000152	fl:seo-yun_ln:johnson-00242	loc-0141
11000153	fl:hiroshi_ln:khan-01469	loc-0139
11000153	fl:emma_ln:yamamoto-01009	loc-0065
11000153	fl:amelia_ln:davis-00272	loc-0025
11000153	fl:priya_ln:ahmed-01092	loc-0026
11000154	fl:isabella_ln:khan-00789	loc-0085
11000155	fl:anika_ln:sato-00003	loc-0093
11000155	fl:marco_ln:esposito-01118	loc-0175
11000155	fl:noah_ln:petrov-01690	loc-0022
11000156	fl:emma_ln:sato-00482	loc-0035
11000156	fl:kenji_ln:johnson-01297	loc-0042
11000157	fl:santosh_ln:sato-01072	loc-0196
11000158	fl:oliver_ln:zhang-01333	loc-0081
11000158	fl:santosh_ln:ahmed-00550	loc-0196
11000158	fl:olivia_ln:kumar-01496	loc-0107
11000158	fl:rajesh_ln:ivanov-00034	loc-0017
11000159	fl:hiroshi_ln:anderson-00077	loc-0018
11000159	fl:rajesh_ln:brown-00618	loc-0065
11000160	fl:seo-yun_ln:anderson-01104	loc-0159
11000160	fl:yuki_ln:miller-00936	loc-0100
11000160	fl:alice_ln:rossi-00245	loc-0013
11000160	fl:camille_ln:rodriguez-01141	loc-0155
11000160	fl:luca_ln:kim-00334	loc-0065
11000161	fl:min_ln:smith-00260	loc-0078
11000161	fl:giulia_ln:martin-01497	loc-0187
11000162	fl:amelia_ln:li-00969	loc-0160
11000162	fl:yuki_ln:chen-01358	loc-0119
11000162	fl:amelia_ln:taylor-00607	loc-0081
11000162	fl:seo-yun_ln:anderson-01104	loc-0161
11000162	fl:anika_ln:conti-00029	loc-0113
11000163	fl:alice_ln:kumar-00857	loc-0089
11000163	fl:olivia_ln:garcia-00741	loc-0151
11000163	fl:marco_ln:sato-01479	loc-0005
11000163	fl:ahmed_ln:conti-01448	loc-0047
11000164	fl:sakura_ln:brown-01364	loc-0062
11000165	fl:priya_ln:wilson-00772	loc-0131
11000165	fl:fatima_ln:suzuki-00775	loc-0015
11000166	fl:seo-yun_ln:kim-01705	loc-0133
11000166	fl:hiroshi_ln:khan-01469	loc-0151
11000167	fl:oliver_ln:kumar-00098	loc-0158
11000168	fl:aisha_ln:conti-01084	loc-0144
11000168	fl:anika_ln:ferrari-00209	loc-0152
11000169	fl:greta_ln:rossi-00113	loc-0163
11000169	fl:sakura_ln:hassan-00611	loc-0015
11000169	fl:isabella_ln:chen-00838	loc-0024
11000170	fl:priya_ln:khan-00448	loc-0082
11000171	fl:sofia_ln:suzuki-00335	loc-0080
11000171	fl:aisha_ln:zhang-00793	loc-0030
11000171	fl:marco_ln:johnson-00949	loc-0153
11000172	fl:aisha_ln:johnson-01290	loc-0125
11000172	fl:sakura_ln:hassan-00531	loc-0079
11000172	fl:wei_ln:patel-00935	loc-0004
11000172	fl:ivan_ln:wilson-00942	loc-0148
11000173	fl:oliver_ln:kumar-00877	loc-0133
11000173	fl:olivia_ln:wilson-00231	loc-0012
11000173	fl:isabella_ln:anderson-00170	loc-0079
11000174	fl:santosh_ln:davis-00153	loc-0103
11000174	fl:carlos_ln:tanaka-00617	loc-0078
11000175	fl:noah_ln:davis-00227	loc-0146
11000176	fl:pierre_ln:ahmed-00558	loc-0104
11000176	fl:ahmed_ln:dupont-01597	loc-0144
11000176	fl:aisha_ln:li-00393	loc-0141
11000176	fl:rajesh_ln:müller-01495	loc-0145
11000176	fl:sofia_ln:ferrari-00428	loc-0035
11000177	fl:greta_ln:wang-00871	loc-0167
11000177	fl:luca_ln:li-01102	loc-0108
11000178	fl:emma_ln:anderson-01687	loc-0090
11000178	fl:mohammed_ln:ferrari-00990	loc-0134
11000178	fl:jin_ln:sato-00219	loc-0163
11000178	fl:greta_ln:ali-00290	loc-0165
11000178	fl:ivan_ln:petrov-00331	loc-0021
11000179	fl:kenji_ln:johnson-01287	loc-0146
11000179	fl:liu_ln:khan-01492	loc-0192
11000179	fl:priya_ln:schmidt-00028	loc-0088
11000180	fl:sakura_ln:ahmed-00628	loc-0037
11000180	fl:pierre_ln:wilson-00514	loc-0124
11000181	fl:wei_ln:wilson-00905	loc-0128
11000182	fl:isabella_ln:zhang-01514	loc-0111
11000182	fl:greta_ln:rossi-00113	loc-0047
11000183	fl:marco_ln:wilson-00288	loc-0197
11000184	fl:santosh_ln:rossi-01718	loc-0158
11000185	fl:ivan_ln:ahmed-00271	loc-0187
11000185	fl:noah_ln:dupont-00835	loc-0183
11000186	fl:pierre_ln:sharma-00096	loc-0162
11000187	fl:kenji_ln:petrov-00580	loc-0195
11000187	fl:greta_ln:ali-00290	loc-0117
11000187	fl:ahmed_ln:patel-00692	loc-0101
11000187	fl:giulia_ln:rodriguez-01408	loc-0003
11000187	fl:ahmed_ln:ahmed-00253	loc-0092
11000188	fl:fatima_ln:hassan-01379	loc-0021
11000188	fl:jin_ln:patel-00925	loc-0010
11000189	fl:alice_ln:wilson-01754	loc-0062
11000189	fl:kenji_ln:johnson-00498	loc-0014
11000190	fl:fatima_ln:rossi-00008	loc-0076
11000191	fl:alice_ln:smith-00114	loc-0198
11000191	fl:camille_ln:zhang-00492	loc-0100
11000191	fl:olivia_ln:taylor-00986	loc-0188
11000192	fl:ivan_ln:wang-00715	loc-0109
11000192	fl:camille_ln:rossi-01317	loc-0005
11000192	fl:carlos_ln:patel-00203	loc-0060
11000192	fl:marco_ln:chen-01043	loc-0028
11000192	fl:hiroshi_ln:petrov-01365	loc-0173
11000193	fl:marco_ln:petrov-01508	loc-0143
11000193	fl:sofia_ln:smith-00825	loc-0195
11000193	fl:rajesh_ln:müller-01495	loc-0067
11000194	fl:anika_ln:park-00316	loc-0139
11000194	fl:giulia_ln:yamamoto-00348	loc-0040
11000194	fl:carlos_ln:zhang-01576	loc-0134
11000195	fl:john_ln:schmidt-01349	loc-0126
11000195	fl:aisha_ln:brown-00363	loc-0035
11000195	fl:priya_ln:suzuki-00004	loc-0192
11000195	fl:pierre_ln:park-00658	loc-0177
11000196	fl:greta_ln:brown-00461	loc-0004
11000196	fl:isabella_ln:anderson-00170	loc-0178
11000197	fl:greta_ln:dupont-01565	loc-0016
11000197	fl:yuki_ln:conti-01658	loc-0147
11000197	fl:jin_ln:rodriguez-00982	loc-0075
11000198	fl:aisha_ln:ali-00373	loc-0108
11000198	fl:min_ln:sato-00953	loc-0150
11000199	fl:hiroshi_ln:garcia-01502	loc-0099
11000200	fl:ivan_ln:yamamoto-01368	loc-0151
11000200	fl:sofia_ln:yamamoto-01344	loc-0066
11000200	fl:santosh_ln:anderson-01504	loc-0071
11000200	fl:hans_ln:zhang-01115	loc-0153
11000201	fl:fatima_ln:garcia-01741	loc-0037
11000201	fl:yuki_ln:ferrari-01066	loc-0185
11000202	fl:aisha_ln:zhang-00783	loc-0158
11000202	fl:liam_ln:kim-01731	loc-0159
11000203	fl:luca_ln:wang-00394	loc-0186
11000204	fl:aisha_ln:brown-00363	loc-0082
11000205	fl:priya_ln:brown-01197	loc-0078
11000205	fl:liam_ln:schmidt-00057	loc-0141
11000206	fl:hiroshi_ln:johnson-00560	loc-0050
11000207	fl:mohammed_ln:anderson-00750	loc-0154
11000207	fl:fatima_ln:tanaka-00803	loc-0028
11000207	fl:greta_ln:rossi-00113	loc-0066
11000207	fl:min_ln:wang-00089	loc-0190
11000208	fl:marco_ln:chen-01500	loc-0192
11000208	fl:liam_ln:esposito-00824	loc-0040
11000209	fl:chen_ln:smith-00027	loc-0179
11000209	fl:kenji_ln:miller-00417	loc-0000
11000210	fl:greta_ln:esposito-00900	loc-0137
11000210	fl:sakura_ln:wang-00724	loc-0066
11000210	fl:amelia_ln:brown-00675	loc-0177
11000211	fl:oliver_ln:martin-01291	loc-0181
11000211	fl:santosh_ln:chen-00977	loc-0136
11000212	fl:yuki_ln:miller-00936	loc-0082
11000212	fl:pierre_ln:ali-01525	loc-0005
11000212	fl:luca_ln:park-00106	loc-0154
11000212	fl:anika_ln:sato-00521	loc-0063
11000212	fl:liu_ln:sharma-00378	loc-0043
11000213	fl:sofia_ln:khan-00842	loc-0191
11000213	fl:anika_ln:sato-00003	loc-0192
11000213	fl:natasha_ln:rodriguez-00729	loc-0033
11000214	fl:hans_ln:miller-00872	loc-0031
11000214	fl:ivan_ln:dupont-01111	loc-0195
11000215	fl:isabella_ln:wilson-00296	loc-0011
11000215	fl:sofia_ln:suzuki-00019	loc-0008
11000216	fl:priya_ln:ahmed-00430	loc-0037
11000216	fl:santosh_ln:petrov-00943	loc-0025
11000216	fl:mohammed_ln:davis-01406	loc-0045
11000216	fl:aisha_ln:brown-00363	loc-0029
11000216	fl:giulia_ln:müller-00762	loc-0189
11000217	fl:natasha_ln:anderson-00183	loc-0034
11000217	fl:john_ln:kim-01544	loc-0050
11000217	fl:olivia_ln:suzuki-00263	loc-0134
11000218	fl:amelia_ln:khan-00486	loc-0081
11000219	fl:yuki_ln:schmidt-01091	loc-0182
11000220	fl:liam_ln:sato-01443	loc-0036
11000220	fl:wei_ln:kumar-01016	loc-0120
11000220	fl:mohammed_ln:davis-00465	loc-0162
11000221	fl:min_ln:kumar-00541	loc-0156
11000221	fl:aisha_ln:petrov-00746	loc-0129
11000222	fl:carlos_ln:wang-00158	loc-0184
11000222	fl:camille_ln:sato-01260	loc-0007
11000223	fl:pierre_ln:sharma-00229	loc-0059
11000223	fl:ivan_ln:gupta-00002	loc-0143
11000224	fl:hans_ln:kim-01667	loc-0153
11000224	fl:ivan_ln:tanaka-01339	loc-0044
11000224	fl:liu_ln:patel-00537	loc-0049
11000225	fl:sakura_ln:conti-01412	loc-0173
11000226	fl:camille_ln:petrov-00199	loc-0013
11000226	fl:carlos_ln:tanaka-00390	loc-0040
11000227	fl:ivan_ln:anderson-00894	loc-0079
11000227	fl:giulia_ln:park-01220	loc-0029
11000227	fl:ivan_ln:park-00493	loc-0030
11000227	fl:wei_ln:garcia-00295	loc-0150
11000228	fl:camille_ln:suzuki-00141	loc-0123
11000228	fl:fatima_ln:rossi-01340	loc-0122
