patent_id,title,abstract,filing_date,year
4013554,Method and apparatus for purifying water contaminated with anodically oxidizable organic matter,,1977-03-22,1977
4014490,Apparatus for feeding and applying features to continuous webs or items thereon,,1977-03-29,1977
4017802,Stored electronic device for producing pulses having predetermined rate and sequence,,1977-04-12,1977
4019704,Motor mounting structure,,1977-04-26,1977
4019398,V-Belt pulley with automatic tensioning device,,1977-04-26,1977
4019742,Board game apparatus,,1977-04-26,1977
4019605,Food delivery system for restaurants,,1977-04-26,1977
4021474,Antidegradant esters,,1977-05-03,1977
4021978,Mast assembly,,1977-05-10,1977
4022674,Photopolymerizable compounds and compositions comprising the product of the reaction of a monomeric ester and a polycarboxy-substituted benzophenone,,1977-05-10,1977
4022278,Recovery of oil by a vertical miscible flood,,1977-05-10,1977
4022878,Methods and compounds for producing specific antibodies,,1977-05-10,1977
4026327,Rapid opening valve for steam-operated power devices,,1977-05-31,1977
4027057,Sunburst wall plaque or the like and method of making the same,,1977-05-31,1977
4029970,Changeable decoder structure for a folded logic array,,1977-06-14,1977
4032551,Method of obtaining neutral lipid material used as a hatching agent for sugar beet nematode,,1977-06-28,1977
4032627,Tooth whitening cosmetic composition,,1977-06-28,1977
4033469,Front end loader and method of mounting same on tractor,,1977-07-05,1977
4035165,Rapper monitor,,1977-07-12,1977
4036509,Ski brake apparatus,,1977-07-19,1977
4037358,Model airplane drive and control system,,1977-07-26,1977
4037512,Wire nail,,1977-07-26,1977
4038977,Endoscope equipped with a film cassette,,1977-08-02,1977
4041142,Method for removing sulfur oxide from waste gases and recovering elemental sulfur,,1977-08-09,1977
4042505,Filter arrangement with baffles,,1977-08-16,1977
4043651,Audio-visual device,,1977-08-23,1977
4042997,Vacuum cleaner with improved brush,,1977-08-23,1977
4045593,Method for producing moisture resistant electrodes,,1977-08-30,1977
4044462,Rivet blank feeder for riveting apparatus,,1977-08-30,1977
4046594,Solar battery,,1977-09-06,1977
4049106,Vending machine mechanism housing and armor protection therefor,,1977-09-20,1977
4049903,Circuit film strip and manufacturing method,,1977-09-20,1977
4050813,"Lamp-adjusting mechanism, particularly for photographic enlarging apparatus",,1977-09-27,1977
4050346,Anchoring device for use in masonry and like structures with corrosion-protection feature,,1977-09-27,1977
4050338,Power knife adjustment for a shear machine,,1977-09-27,1977
4052027,Method and means for securing railroad cars to a barge deck,,1977-10-04,1977
4053940,Modified offset keying apparatus for phase comparison relaying,,1977-10-11,1977
4055068,Process for manufacturing monobloc vehicle wheels,,1977-10-25,1977
4055453,Process for producing laminated bituminous roofing membrane,,1977-10-25,1977
4055929,Threaded anchor,,1977-11-01,1977
4057521,Absorbent articles made from carboxylic synthetic polyelectrolytes having copolymerized N-substituted acrylamide crosslinker,,1977-11-08,1977
4058301,Load limiter coupling,,1977-11-15,1977
4059069,Coating apparatus,,1977-11-22,1977
4058966,Device for protecting tangential drives of a textile machine,,1977-11-22,1977
4060618,Quaternary xanthinylalkyl nortropine,,1977-11-29,1977
4063455,Flow meter,,1977-12-20,1977
4065865,Device for visually displaying luminous patterns,,1978-01-03,1978
4066571,Olefin-polymerization catalysts,,1978-01-03,1978
4067091,Method of preparing human remains for storage,,1978-01-10,1978
4067336,Perineal shield and discharge containment device,,1978-01-10,1978
4067957,Process for producing hydrogen fluoride from an aqueous hydrofluorosilicic acid solution,,1978-01-10,1978
4072700,Azomethine copper complexes,,1978-02-07,1978
4072049,Apparatus for measuring surface pressures on spinning aerodynamic bodies,,1978-02-07,1978
4074068,Flying printing system using type belt,,1978-02-14,1978
4074621,Infusion-making machine,,1978-02-21,1978
4076918,Cellulose thiocyanate and process for preparing the same,,1978-02-28,1978
4075750,Connector tool apparatus for ceiling clips,,1978-02-28,1978
4075838,"Closed system, standpipe operated hydroelectric power plant",,1978-02-28,1978
4077059,Multi-processing system with a hierarchial memory having journaling and copyback,,1978-02-28,1978
4077672,Method of making a sponge mop part,,1978-03-07,1978
4077569,Fluid-flow pulsator,,1978-03-07,1978
4078524,Animal watering apparatus,,1978-03-14,1978
4080360,Thermoplastic polybutylene terephthalate molding compositions,,1978-03-21,1978
4080671,Arrangement for swingable mounting of a toilet seat,,1978-03-28,1978
4082057,Apparatus for spraying interior surface of vessels,,1978-04-04,1978
4084187,Circuit for accurately extracting the synchronization information contained within a composite video waveform,,1978-04-11,1978
4083093,Multiple material solar panel and method and apparatus for manufacturing the same,,1978-04-11,1978
4084355,Finishing method,,1978-04-18,1978
4086775,Method and apparatus for generating power by sea wave action,,1978-05-02,1978
4088119,Means and methods of preventing the loss of solar heat,,1978-05-09,1978
4090136,Method and apparatus for coding a signal,,1978-05-16,1978
4089860,"Preparation of hydantoins by reacting esters of ethylene-1,2-dicarboxylic acids and ureas and thioureas",,1978-05-16,1978
4089253,Linear fluid motor,,1978-05-16,1978
4091086,Process for production of hydrogen,,1978-05-23,1978
4093048,Vehicle steering brake and clutch control,,1978-06-06,1978
4092851,Apparatus for the measurement of vehicle fuel consumption,,1978-06-06,1978
4094314,Pressure regulator for breathing apparatus,,1978-06-13,1978
4095216,Method and apparatus for displaying alphanumeric data,,1978-06-13,1978
4096346,Wire and cable,,1978-06-20,1978
4100286,2-(Substituted heterocyclic amine)benzoic acids,,1978-07-11,1978
4100503,Correlative tracking system with lock indicator,,1978-07-11,1978
4101372,Width adjusting thickness setting clamping system,,1978-07-18,1978
4107625,Transistor crystal oscillator which may be paired for generating a beat frequency,,1978-08-15,1978
4110386,Silicon carbide sintered moldings and a method for producing said moldings,,1978-08-29,1978
4110167,Semi-automated slide processor device,,1978-08-29,1978
4111228,"Respiratory valve, especially for anaesthetic circuits",,1978-09-05,1978
4112060,Method for the production of carbon black from liquid or gaseous hydrocarbons,,1978-09-05,1978
4111635,Manifold in substantial alignment with plasticizer,,1978-09-05,1978
4111248,Golf club carrier,,1978-09-05,1978
4114298,Perpetual calendar,,1978-09-19,1978
4115596,Method for reducing the temperature of bakery products,,1978-09-19,1978
4116401,Dual reel hub,,1978-09-26,1978
4120009,Tape recorder apparatus,,1978-10-10,1978
4119204,Restraining structure for use in containers,,1978-10-10,1978
4120539,Adaptive braking system with special control for slippery surfaces,,1978-10-17,1978
D250046,Sphygmomanometer,,1978-10-24,1978
4122877,Ring type debarker,,1978-10-31,1978
4124398,Thiyl bleaching agents for photographic processes,,1978-11-07,1978
4125758,Vertical welding method,,1978-11-14,1978
4125542,N-Tetrahydropyranyl substituted phosphoramidates and phosphonamidates,,1978-11-14,1978
4126459,Thioether substituted silver halide solvents,,1978-11-21,1978
4126679,Cosmetic stick,,1978-11-21,1978
4126663,Process for recovering vanadium values from acidic sulfate solution,,1978-11-21,1978
4126665,Preparation of polymeric alkaline earth metaphosphate glasses,,1978-11-21,1978
4127940,Orthodontist's instrument for applying elastic arch wire-retaining rings,,1978-12-05,1978
4129046,Gear shift control,,1978-12-12,1978
4130100,Direct-injection spark-ignition engine,,1978-12-19,1978
4131329,Current interchange for a gas actuated bushing,,1978-12-26,1978
4131592,Flame retardant rubber flooring composition,,1978-12-26,1978
4132645,Two-stage oil skimmer separator,,1979-01-02,1979
4133298,Solar heat collecting apparatus,,1979-01-09,1979
4135414,Method of making inserted blade hob,,1979-01-23,1979
4137378,Calcium-strontium-lead grid alloy for use in lead-acid batteries,,1979-01-30,1979
4137304,Cyclic substituted ureas having a physiological cooling effect,,1979-01-30,1979
4142075,Interface circuit and method for telephone extension lines,,1979-02-27,1979
4143165,Foldable package for meat sandwich,,1979-03-06,1979
4143261,Apparatus useful for exposing a circumferential path around a workpiece to tool means,,1979-03-06,1979
4143821,Fluidic rotation of tubed screw,,1979-03-13,1979
4143792,Automobile windshield washing service unit,,1979-03-13,1979
4144476,Multiple double energy modulation ignition system,,1979-03-13,1979
4145011,Film wind-up mechanism releasing device,,1979-03-20,1979
4145110,Optical fibre connector for variable signal attenuation,,1979-03-20,1979
4145120,Electronic table calculator using liquid crystal display,,1979-03-20,1979
4146325,Method and apparatus for visualization of electrostatic images,,1979-03-27,1979
4147913,Weld gap shears for a flash welding machine,,1979-04-03,1979
4151475,Compensation circuit for multi-path propagation distortion in binary frequency modulated signals,,1979-04-24,1979
4151017,Method of producing heat-resistant parts,,1979-04-24,1979
4152595,Charge sensing circuit,,1979-05-01,1979
4151981,Brake drum controlled hoist,,1979-05-01,1979
4154183,Character costume substructure,,1979-05-15,1979
4155520,Intermittent drive for spinning reel,,1979-05-22,1979
4156901,Projection unit having removable retention member,,1979-05-29,1979
D252208,Camera knob or similar article,,1979-06-26,1979
4159674,Universal diffuser assembly and method of manufacturing,,1979-07-03,1979
4161118,Force direction transducer,,1979-07-17,1979
4161254,Anchor member for unitizing a plurality of containers,,1979-07-17,1979
4162671,Solar energy panel and medium for use therein,,1979-07-31,1979
4163330,Dredge cutter head having a volute compartment,,1979-08-07,1979
4164723,Shunt release and locking structure,,1979-08-14,1979
4165897,Refuse compactor with a counterbalanced rear door,,1979-08-28,1979
4166973,Method and system for detection of thin metal layers in packaged articles,,1979-09-04,1979
4166318,Truck-trailer calculator,,1979-09-04,1979
4169033,Electroplating cell,,1979-09-25,1979
4169642,Integrated circuit connector,,1979-10-02,1979
4171632,Method of and apparatus for hot-rolling a thin metal sheet,,1979-10-23,1979
4171778,Granulator rotor,,1979-10-23,1979
D253430,Bilboquet staff,,1979-11-13,1979
4174953,Process for removing sulfur from coal,,1979-11-20,1979
4174626,Fuel gauge,,1979-11-20,1979
4175323,Dental handpiece,,1979-11-27,1979
4175635,Anti-theft device for internal combustion engine of a motor vehicle,,1979-11-27,1979
4176362,High density magnetic image recording head,,1979-11-27,1979
4178087,Autofocus movie camera having focus correction means,,1979-12-11,1979
D253709,Apparatus for indicating numerical concepts,,1979-12-18,1979
4180736,Use of a large time-compensated scintillation detector in neutron time-of-flight measurements,,1979-12-25,1979
4180814,Multiple beam receiving array signal processor,,1979-12-25,1979
4180271,Squiggle game,,1979-12-25,1979
4180570,17.beta.-Hydroxy-4-androsten-3-ones and process for the preparation thereof,,1979-12-25,1979
4180135,Hydraulic angling mechanism for disc harrow gangs,,1979-12-25,1979
4180876,Portable toilets,,1980-01-01,1980
4180946,Tool holding spindle assembly particularly for a grinding machine,,1980-01-01,1980
D253871,Bottle,,1980-01-08,1980
4183446,Food container with integral dish and cover,,1980-01-15,1980
4185008,Flame retardant compositions,,1980-01-22,1980
4187023,Apparatus for wet treatment of running webs of photographic material,,1980-02-05,1980
4188078,Bearing lubrication system for bowed rolls,,1980-02-12,1980
4187850,Stoma centering apparatus,,1980-02-12,1980
4187649,Frame construction,,1980-02-12,1980
D254263,Toy detonator,,1980-02-19,1980
4190445,Electrophotographic photosensitive media and process for manufacturing thereof,,1980-02-26,1980
4191100,Brewing apparatus for coffee and the like,,1980-03-04,1980
4194459,Boats hardware system,,1980-03-25,1980
4194500,Gravity orthopedic device,,1980-03-25,1980
4201785,Cyclopropanyl-bearing hydrazides,,1980-05-06,1980
4201986,Continuous wave radar equipment,,1980-05-06,1980
4202743,Electrolysis of aqueous solution of sodium chloride,,1980-05-13,1980
4203928,Process for the preparation of 2-nitrobenzaldehyde,,1980-05-20,1980
D255195,Shelf unit,,1980-06-03,1980
D255566,Combined cassette tape recorder and radio,,1980-06-24,1980
4212001,Electric horn,,1980-07-08,1980
4212151,Manufacture of compacted strand,,1980-07-15,1980
4214164,Control of spot weld quality by infrared thermal sensing,,1980-07-22,1980
4216977,Hydropneumatic suspension system for vehicle with valve means for selectively keeping hydraulic fluid within gas cushion,,1980-08-12,1980
D256306,Breakfront or similar article,,1980-08-12,1980
4217319,Process for producing polyolefin foams,,1980-08-12,1980
4218586,Compatible AM stereo broadcast system,,1980-08-19,1980
4221015,Tooth-cleaning device,,1980-09-09,1980
4221583,N-Phosphonomethylglycinonitrile and certain derivatives thereof,,1980-09-09,1980
4221198,Internal combustion engine with sustained power stroke,,1980-09-09,1980
4222422,Pliant material container,,1980-09-16,1980
4224266,Manufacture of detergent bars,,1980-09-23,1980
4225110,Actuator for converting linear to rotary motion,,1980-09-30,1980
4225694,Selective catalytic oxidation of unsaturated alcohols to carbonyl compounds,,1980-09-30,1980
4226844,Method of thermally splitting hydrate of aluminum chloride,,1980-10-07,1980
4229517,Dot-etchable photopolymerizable elements,,1980-10-21,1980
4229771,"Method of recording a control signal adjacent another signal track on a magnetic recording medium, and system therefor",,1980-10-21,1980
4229929,Thermoplastic container,,1980-10-28,1980
4231688,Apparatus for clearing silage or similar material,,1980-11-04,1980
4232598,Apparatus for the dearomatization of coffee oil,,1980-11-11,1980
4236003,"V-Triazolyl-[4,5-d]-pyrimidH.",,1980-11-25,1980
4236543,Portable tent,,1980-12-02,1980
4236707,Pneumatic sheet feeder,,1980-12-02,1980
4238390,"Synthesis and biological activity of [D-Thr.sup.2, .DELTA..sup.3 Pro.sup.5 ]-enkephalinamide",,1980-12-09,1980
4238379,Water based oligomeric primers for aluminum and aluminum alloys,,1980-12-09,1980
4238653,Electrical switch having a setting rod acting as a lever,,1980-12-09,1980
4239438,Device for lifting and carrying loads on top of pickup trucks,,1980-12-16,1980
4239968,Method and apparatus for recording and reproducing a radiation image,,1980-12-16,1980
4238879,Laminated inductor stacking and calibrating apparatus,,1980-12-16,1980
4240885,Oxidation of organics in aqueous salt solutions,,1980-12-23,1980
4240497,Vacuum metal die-casting apparatus,,1980-12-23,1980
4242679,Liquid crystal display mechanism,,1980-12-30,1980
4242122,Herbicidal meta-bifunctional benzenes,,1980-12-30,1980
4245101,"Method of preparation and use of N-phenyl-N'-1,2,3-thiadiazole-5-yl-thiourea",,1981-01-13,1981
4244708,Method and apparatus for separating components from a flowing medium by means of centrifugal force,,1981-01-13,1981
4246710,Breakaway tag label holder,,1981-01-27,1981
4248421,Chest exerciser,,1981-02-03,1981
4248888,Chemical compounds,,1981-02-03,1981
4249300,Method of manufacturing a circular wave guide and installing the same,,1981-02-10,1981
4253642,Valve stem lubricating plate,,1981-03-03,1981
4255106,Manually fed dough sheeter,,1981-03-10,1981
4255311,"Storage-stable, formaldehyde-free composition for the treatment of textile material containing hydroxyl groups",,1981-03-10,1981
4257004,Electrical energy measuring multimeter,,1981-03-17,1981
4257085,Warning lantern adapter,,1981-03-17,1981
4258221,Cleavage of alkylenebisphenols,,1981-03-24,1981
4259362,Process for improving baking properties of unbleached flour,,1981-03-31,1981
4260730,Preparation of bisphenol-formaldehyde ethers using nitric acid,,1981-04-07,1981
4260418,Method for producing molybdenum bearing ferrochromium,,1981-04-07,1981
4260442,Method for making an improved variable flute container,,1981-04-07,1981
4263723,Cap for inlet of fluid into the fluidized bed,,1981-04-28,1981
4267298,Process for preparing M-stopped silicone fluids from silanol fluids,,1981-05-12,1981
4268164,Composite information recording apparatus and original position designating mechanism therefor,,1981-05-19,1981
4269988,Biocidal mercaptotriazole haloacrylylnitrile compounds,,1981-05-26,1981
4271082,4-Methyl-4-furfurylthio-pentanone-2,,1981-06-02,1981
4272104,Vehicle provided with an inertia reel seat belt,,1981-06-09,1981
4276300,"Amino-substituted-4,5,6,7-tetrahydro-1H (or 2H)-indazoles",,1981-06-30,1981
4278345,Drum cleaning apparatus,,1981-07-14,1981
4282335,High molecular resin composition,,1981-08-04,1981
D260160,Putter head,,1981-08-11,1981
4284448,Method and an arrangement for the manufacture of casings,,1981-08-18,1981
4284626,O-aryl S-branched alkyl alkylphosphonodithioate insecticides and nematocides,,1981-08-18,1981
4284896,Computerized tomographic reconstruction method and system utilizing reflection,,1981-08-18,1981
4285830,Method and apparatus for reconditioning waste solutions of the nuclear industry which contain ammonium nitrate,,1981-08-25,1981
4288698,Transport and storage vessel for radioactive materials,,1981-09-08,1981
4288633,1-Hydroxymethyl-11-deoxy-16-hydroxy-prosten-1-ol-derivatives,,1981-09-08,1981
4291544,Control apparatus for the low pressure evaporator of a refrigeration plant,,1981-09-29,1981
4291793,Hand brake mechanism adapted for use on a railway car,,1981-09-29,1981
4293259,Locking toggle bolt,,1981-10-06,1981
4295907,Method of making glass fiber reinforced laminate,,1981-10-20,1981
4297874,Apparatus for measuring a percentage of moisture and weighing of a sheet-like object,,1981-11-03,1981
4298098,Lube plug,,1981-11-03,1981
4297796,Shoe with three-dimensionally transmitting shock-absorbing mechanism,,1981-11-03,1981
4299594,Process for utilizing waste lubricating oils,,1981-11-10,1981
4300758,Reverser mechanism for duplex printing/paper handling apparatus for cut sheet printing,,1981-11-17,1981
4302522,Method of making polymeric photoconductive material involves partial polymerization step,,1981-11-24,1981
4302216,Anti-static additives,,1981-11-24,1981
4302556,Polyvinylidene fluoride filaments,,1981-11-24,1981
4303722,Building components,,1981-12-01,1981
4303867,Domestic appliance comprising a protected programming device,,1981-12-01,1981
4304172,Setting device for a hydraulic machine,,1981-12-08,1981
4307944,Microscope,,1981-12-29,1981
4307571,Device driven by heat energy,,1981-12-29,1981
4308810,Apparatus and method for reduction of NOx emissions from a fluid bed combustion system through staged combustion,,1982-01-05,1982
4311492,Vacuum tube filter cover,,1982-01-19,1982
4312573,Ellipticized infrared lens providing balanced astigmatism,,1982-01-26,1982
4312592,Method and device for the measurement of linear speeds without contact and without marking,,1982-01-26,1982
4312086,Modular furniture,,1982-01-26,1982
4312699,Apparatus for attaching adhesive-coated sheets to cigarette packs or the like,,1982-01-26,1982
4315028,Method of treatment of rheumatoid arthritis,,1982-02-09,1982
4314564,Method and apparatus for determining alcohol concentration in the blood,,1982-02-09,1982
4319853,Geodesic dome structure tie-beam connector,,1982-03-16,1982
4321177,Sprayable perfluoroalkoxy solutions,,1982-03-23,1982
4321348,"Copolymers of N-vinyl pyrrolidone and a vinylic, allylic or methallylic ester of a cyclic .alpha.- or .beta.-carboxylic acid; and cosmetic compositions containing the same",,1982-03-23,1982
4320608,Post support socket,,1982-03-23,1982
4321478,Auxiliary power supply with kinetic energy storage,,1982-03-23,1982
4324078,Fire-resistant floor structure,,1982-04-13,1982
4324379,Display shelf lock,,1982-04-13,1982
4325882,Extraction of oil from high oil-bearing seed materials,,1982-04-20,1982
4327248,Shielded electrical cable,,1982-04-27,1982
4326979,"Non-aqueous, built liquid detergent composition and method for preparing same",,1982-04-27,1982
D264250,House,,1982-05-04,1982
4329234,Multi-stage gas liquid reactor,,1982-05-11,1982
4330499,Process and apparatus for the simultaneous biaxial stretching of a plastic film,,1982-05-18,1982
4332424,Low disturbance track cleat and ice calk structure for firm or icy snow,,1982-06-01,1982
4332531,Variable displacement pump with torque limiting control,,1982-06-01,1982
4332125,Apparatus and method for producing highly nutritive storage stable forage plant material,,1982-06-01,1982
4335244,Monolactate salts of 4'-(9-acridinylamino)methanesulfon-m-anisidide,,1982-06-15,1982
4337479,Color resolution compensator,,1982-06-29,1982
D265269,Ice scraper with attached snow brush,,1982-07-06,1982
4338323,Piperidylbenzimidazolinone derivatives,,1982-07-06,1982
4339114,Fencing system,,1982-07-13,1982
4339702,Stepping motor drive apparatus,,1982-07-13,1982
4339845,Spring hinge,,1982-07-20,1982
4340955,Video disc player,,1982-07-20,1982
4341234,Method and apparatus for emptying vessels,,1982-07-27,1982
4342634,Continuity spring for a hydraulic cylinder,,1982-08-03,1982
4342321,Device for the formation of groups of cigarettes,,1982-08-03,1982
4345502,Musical instrument performance amplifier,,1982-08-24,1982
4345361,Tool for joining pipes,,1982-08-24,1982
4346044,"Water-soluble air-drying alkyd resins, process for their preparation and their use as bases for non-yellowing lacquers",,1982-08-24,1982
4347380,N-Acylsulfonamide herbicidal antidotes,,1982-08-31,1982
4347083,Chemically bonded aluminum coating for carbon via monocarbides,,1982-08-31,1982
4346876,Vacuum document feeder,,1982-08-31,1982
4349777,Variable current source,,1982-09-14,1982
4349631,Process for producing heat-resistant acetate kinase,,1982-09-14,1982
4352223,Web crushing arrangement for a card web,,1982-10-05,1982
4353726,Method and apparatus for preheating pulverous materials prior to their introduction into a melting furnace,,1982-10-12,1982
4353198,Pouch forming and filling apparatus,,1982-10-12,1982
4353174,Electronic control system for pneumatic-hydraulic pump dredge,,1982-10-12,1982
4355797,Picker mechanism for automatic banking machines,,1982-10-26,1982
4356352,Circuit arrangement for telephone exchange systems having time staggered charge metering pulse frequencies,,1982-10-26,1982
4356425,Electrode for tuning fork type quartz crystal vibrator,,1982-10-26,1982
4356855,Vane holding assembly,,1982-11-02,1982
4356617,Decorative emblems and method for making same,,1982-11-02,1982
4360353,Power transmission system,,1982-11-23,1982
4362499,Combustion control system and method,,1982-12-07,1982
4364027,Calibration apparatus for analog-to-digital converter,,1982-12-14,1982
4366868,Rock drill apparatus,,1983-01-04,1983
4367353,Catalytic hydrogenation and purification,,1983-01-04,1983
4367738,Pre-filled syringe for abusable drugs,,1983-01-11,1983
4368578,Orbital mission planning indicator,,1983-01-18,1983
4369346,Microwave baking utensil,,1983-01-18,1983
4370162,Method for the gaseous reduction of iron ore to sponge iron,,1983-01-25,1983
4370757,Garment with a modesty panel,,1983-02-01,1983
4372052,Device for indicating direction to a predetermined locale,,1983-02-08,1983
4372910,Method for molding hollow plastic articles,,1983-02-08,1983
4374305,Arrangement for regenerating start-stop signals and dial pulses,,1983-02-15,1983
4374421,Anti skid control system,,1983-02-15,1983
4374665,Magnetostrictive devices,,1983-02-22,1983
4375683,Fault tolerant computational system and voter circuit,,1983-03-01,1983
4376949,Color projection TV systems,,1983-03-15,1983
4377765,Mode coupled tuning fork type quartz crystal vibrator and method of tuning,,1983-03-22,1983
4378628,Cobalt silicide metallization for semiconductor integrated circuits,,1983-04-05,1983
4379419,Panel grooving apparatus,,1983-04-12,1983
4380301,Staked reinforced strips,,1983-04-19,1983
4380268,Petroleum and gas well enhancement agent,,1983-04-19,1983
4381604,Vibrating scraper,,1983-05-03,1983
4382207,Luminescent material and discharge lamp containing the same,,1983-05-03,1983
4382604,Structure of a running system in a work vehicle,,1983-05-10,1983
4383419,Heating system and method,,1983-05-17,1983
4383367,Potato scoop,,1983-05-17,1983
4386359,Line printer attachment,,1983-05-31,1983
4386768,Signature feeding and stitching apparatus,,1983-06-07,1983
4392170,Magnetic recording disc cartridge with disc cleaning means,,1983-07-05,1983
4391378,Shelving console furniture,,1983-07-05,1983
4393118,Method of preparing a dark body phosphor,,1983-07-12,1983
4393336,Regulation of the EHT voltage of a CRT,,1983-07-12,1983
4394255,Isomerization process,,1983-07-19,1983
4393732,Abnormality treatment device for automatic transmission control device,,1983-07-19,1983
4396594,Sulfur dioxide reduction process,,1983-08-02,1983
4397259,Spraying apparatus for coating glass sheet with metal oxide,,1983-08-09,1983
4397858,Treatment of rheumatism and arteriosclerosis with n-halogenophenyl-benzisothiazoles,,1983-08-09,1983
4397958,Hydrocarbon analysis,,1983-08-09,1983
4399025,Solvent extraction process for rerefining used lubricating oil,,1983-08-16,1983
4398522,Intake heating device of an internal combustion engine,,1983-08-16,1983
D270306,Luggage,,1983-08-30,1983
4404905,Verso printing unit in the delivery of a sheet-fed rotary printing press,,1983-09-20,1983
4408358,Cold-weather sports glove,,1983-10-11,1983
4409789,Power steering system,,1983-10-18,1983
4410067,Elevator door operator,,1983-10-18,1983
4411653,Cannula introducer,,1983-10-25,1983
4412557,Valve apparatus for fluid conveying system,,1983-11-01,1983
4414647,Bubble domain replicator for contiguous-disk devices,,1983-11-08,1983
D271279,Illuminable key handle,,1983-11-08,1983
4416423,"Electromagnetically actuatable valve, in particular a fuel injection valve for fuel injection systems",,1983-11-22,1983
4416784,Filling composition for use in liquid chromatography,,1983-11-22,1983
4419617,Thermally electrogenerative storage cell and generator apparatus,,1983-12-06,1983
4424252,Conformal coating systems,,1984-01-03,1984
4425856,Process for the treatment of aqueous effluents containing organic substances and inorganic salts and apparatus for use therein,,1984-01-17,1984
4426769,Moisture getter for integrated circuit packages,,1984-01-24,1984
4427042,Power tool,,1984-01-24,1984
4427191,Panel clamp,,1984-01-24,1984
4428324,Method and apparatus for preventing piglets from suffocating under the dam in a brooding pen,,1984-01-31,1984
4428180,Lawn mower and controls therefor,,1984-01-31,1984
4430491,Poly(ether-amide) polymeric compositions,,1984-02-07,1984
4431136,Slit nozzle and fast-acting shutoff valve,,1984-02-14,1984
4431233,Safety seat for motor vehicles,,1984-02-14,1984
4433130,"Cycloalkylsulfonates, polymers and processes relating to same",,1984-02-21,1984
4432553,Cowboy rodeo contest game,,1984-02-21,1984
4434171,"Dibenzazepine derivatives, pharmaceutical compositions containing them, and pharmaceutical methods using them",,1984-02-28,1984
